StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:39:49.226438	1464719989.226438;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:39:49.227026	1464719989.227026;2016-05-31	14:40:49.228489	1464720049.228489;00:01:00;00:01:00;1;0.233329;0.233267;0;0;14;14;14;8;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:24:533000;00:00:24:533000;00:00:03:541000;00:00:03:541000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:40:49.228612	1464720049.228612;2016-05-31	14:41:49.228894	1464720109.228894;00:01:00;00:02:00;1;0.266667;0.249963;0;0;16;30;30;8;16;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:26:845000;00:00:26:215000;00:00:03:768000;00:00:03:773000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:41:49.228990	1464720109.228990;2016-05-31	14:42:49.230062	1464720169.230062;00:01:00;00:03:00;1;0.249996;0.249974;0;0;15;45;45;9;14;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:26:528000;00:00:26:336000;00:00:02:990000;00:00:03:448000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:42:49.230169	1464720169.230169;2016-05-31	14:43:49.231772	1464720229.231772;00:01:00;00:04:00;1;0.249996;0.249978;0;0;15;60;60;7;17;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:27:242000;00:00:26:627000;00:00:02:533000;00:00:03:187000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:43:49.231855	1464720229.231855;2016-05-31	14:44:49.233469	1464720289.233469;00:01:00;00:05:00;1;0.249996;0.249982;0;0;15;75;75;7;15;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:25:947000;00:00:26:477000;00:00:02:485000;00:00:03:042000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:44:49.233576	1464720289.233576;2016-05-31	14:45:49.235287	1464720349.235287;00:01:00;00:06:00;1;0.249996;0.249983;0;0;15;90;90;7;15;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:25:887000;00:00:26:371000;00:00:03:921000;00:00:03:200000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:45:49.235388	1464720349.235388;2016-05-31	14:46:49.236279	1464720409.236279;00:01:00;00:07:00;1;0.25;0.249985;0;0;15;105;105;8;14;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:24:521000;00:00:26:104000;00:00:02:710000;00:00:03:189000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:46:49.236383	1464720409.236383;2016-05-31	14:47:49.237613	1464720469.237613;00:01:00;00:08:00;1;0.249996;0.249986;0;0;15;120;120;7;16;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:24:928000;00:00:25:937000;00:00:03:288000;00:00:03:214000;
2016-05-31	14:39:49.210519	1464719989.210519;2016-05-31	14:47:49.237737	1464720469.237737;2016-05-31	14:48:49.238766	1464720529.238766;00:01:00;00:09:00;1;0.249996;0.249987;0;0;15;135;135;6;16;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:25:591000;00:00:25:894000;00:00:02:631000;00:00:03:141000;
