StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	14:57:17.066084	1686596237.066084;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	14:57:17.066361	1686596237.066361;2023-06-12	14:58:17.068631	1686596297.068631;00:01:00;00:01:00;1;0.233326;0.233263;14;14;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	14:58:17.068757	1686596297.068757;2023-06-12	14:59:17.070072	1686596357.070072;00:01:00;00:02:00;1;0.249996;0.241628;15;29;0;0;29;26;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:22:004000;00:01:22:004000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	14:59:17.070250	1686596357.070250;2023-06-12	15:00:17.072758	1686596417.072758;00:01:00;00:03:00;1;0.249992;0.244415;15;44;0;0;44;29;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:36:286000;00:01:33:429000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:00:17.072862	1686596417.072862;2023-06-12	15:01:17.074346	1686596477.074346;00:01:00;00:04:00;1;0.249996;0.245809;15;59;0;0;59;29;14;29;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;11;11;0;0;0;0;0;0;00:01:52:442000;00:01:42:936000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:01:17.074516	1686596477.074516;2023-06-12	15:02:17.076731	1686596537.076731;00:01:00;00:05:00;1;0.249992;0.246645;15;74;0;0;74;30;14;43;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;17;0;0;0;0;7;18;0;0;0;0;0;0;00:01:58:566000;00:01:47:909000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:02:17.076856	1686596537.076856;2023-06-12	15:03:17.077949	1686596597.077949;00:01:00;00:06:00;1;0.249996;0.247204;15;89;0;0;89;29;16;59;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;18;0;0;0;0;0;0;00:01:59:860000;00:01:51:096000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:03:17.078065	1686596597.078065;2023-06-12	15:04:17.078960	1686596657.078960;00:01:00;00:07:00;1;0.25;0.247603;15;104;0;0;104;26;18;77;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;18;0;0;0;0;0;0;00:01:39:942000;00:01:48:522000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:04:17.079068	1686596657.079068;2023-06-12	15:05:17.080236	1686596717.080236;00:01:00;00:08:00;1;0.249996;0.247901;15;119;0;0;119;28;13;90;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;18;0;0;0;0;0;0;00:01:53:396000;00:01:49:218000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:05:17.080361	1686596717.080361;2023-06-12	15:06:17.082786	1686596777.082786;00:01:00;00:09:00;1;0.249992;0.248133;15;134;0;0;134;28;14;104;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;0;0;0;0;6;24;0;0;0;0;0;0;00:01:37:036000;00:01:47:494000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:06:17.082877	1686596777.082877;2023-06-12	15:07:17.083007	1686596837.083007;00:01:00;00:10:00;1;0.25;0.24832;15;149;0;0;149;30;13;117;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;34;0;0;0;0;12;36;0;0;0;0;0;0;00:02:06:655000;00:01:49:588000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:07:17.083122	1686596837.083122;2023-06-12	15:08:17.084986	1686596897.084986;00:01:00;00:11:00;1;0.233329;0.246957;14;163;0;0;163;28;16;133;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;36;0;0;0;0;0;0;00:02:08:279000;00:01:51:803000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:08:17.085096	1686596897.085096;2023-06-12	15:09:17.086263	1686596957.086263;00:01:00;00:12:00;1;0.266662;0.248599;16;179;0;0;179;33;11;144;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;36;0;0;0;0;0;0;00:02:15:804000;00:01:53:611000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:09:17.086631	1686596957.086631;2023-06-12	15:10:17.088780	1686597017.088780;00:01:00;00:13:00;1;0.249992;0.248706;15;194;0;0;194;26;22;166;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;36;0;0;0;0;0;0;00:01:54:496000;00:01:53:727000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:10:17.088885	1686597017.088885;2023-06-12	15:11:17.089326	1686597077.089326;00:01:00;00:14:00;1;0.25;0.248798;15;209;0;0;209;31;10;176;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;36;0;0;0;0;0;0;00:02:03:513000;00:01:54:277000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:11:17.089433	1686597077.089433;2023-06-12	15:12:17.090000	1686597137.090000;00:01:00;00:15:00;1;0.25;0.248878;15;224;0;0;224;26;19;195;1;3;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;50;0;0;0;0;17;53;0;0;0;0;0;0;00:01:57:827000;00:01:54:635000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:12:17.090106	1686597137.090106;2023-06-12	15:13:17.091558	1686597197.091558;00:01:00;00:16:00;1;0.249996;0.248948;15;239;0;0;239;30;11;206;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;0;0;0;0;1;54;0;0;0;0;0;0;00:01:48:218000;00:01:54:298000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:13:17.091652	1686597197.091652;2023-06-12	15:14:17.094302	1686597257.094302;00:01:00;00:17:00;1;0.233326;0.248029;14;253;0;0;253;35;9;215;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;54;0;0;0;0;0;0;00:02:08:804000;00:01:54:896000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:14:17.094432	1686597257.094432;2023-06-12	15:15:17.096284	1686597317.096284;00:01:00;00:18:00;1;0.266662;0.249063;16;269;0;0;269;32;19;234;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;54;0;0;0;0;0;0;00:02:11:331000;00:01:56:214000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:15:17.096396	1686597317.096396;2023-06-12	15:16:17.099035	1686597377.099035;00:01:00;00:19:00;1;0.233326;0.248235;14;283;0;0;283;27;19;253;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;54;0;0;0;0;0;0;00:01:51:371000;00:01:55:855000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:16:17.099195	1686597377.099195;2023-06-12	15:17:17.100608	1686597437.100608;00:01:00;00:20:00;1;0.266662;0.249156;16;299;0;0;299;30;12;265;1;4;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;61;0;0;0;0;11;65;0;0;0;0;0;0;00:01:50:941000;00:01:55:617000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:17:17.100723	1686597437.100723;2023-06-12	15:18:17.102273	1686597497.102273;00:01:00;00:21:00;1;0.249996;0.249196;15;314;0;0;314;27;18;283;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;68;0;0;0;0;7;72;0;0;0;0;0;0;00:01:56:546000;00:01:55:675000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:18:17.102376	1686597497.102376;2023-06-12	15:19:17.104106	1686597557.104106;00:01:00;00:22:00;1;0.249996;0.249232;15;329;0;0;329;30;12;295;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;72;0;0;0;0;0;0;00:01:55:580000;00:01:55:672000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:19:17.104226	1686597557.104226;2023-06-12	15:20:17.106804	1686597617.106804;00:01:00;00:23:00;1;0.249992;0.249265;15;344;0;0;344;32;13;308;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;72;0;0;0;0;0;0;00:02:07:752000;00:01:56:175000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:20:17.106919	1686597617.106919;2023-06-12	15:21:17.107458	1686597677.107458;00:01:00;00:24:00;1;0.25;0.249296;15;359;0;0;359;29;18;326;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;72;0;0;0;0;0;0;00:01:59:767000;00:01:56:371000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:21:17.107579	1686597677.107579;2023-06-12	15:22:17.108963	1686597737.108963;00:01:00;00:25:00;1;0.249996;0.249324;15;374;0;0;374;30;13;339;1;5;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;73;0;0;0;0;6;78;0;0;0;0;0;0;00:01:48:157000;00:01:56:037000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:22:17.109068	1686597737.109068;2023-06-12	15:23:17.109204	1686597797.109204;00:01:00;00:26:00;1;0.25;0.24935;15;389;0;0;389;30;15;354;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;85;0;0;0;0;12;90;0;0;0;0;0;0;00:02:09:933000;00:01:56:617000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:23:17.109327	1686597797.109327;2023-06-12	15:24:17.110221	1686597857.110221;00:01:00;00:27:00;1;0.233333;0.248756;14;403;0;0;403;32;12;366;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;90;0;0;0;0;0;0;00:02:17:140000;00:01:57:281000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:24:17.110403	1686597857.110403;2023-06-12	15:25:17.113661	1686597917.113661;00:01:00;00:28:00;1;0.266653;0.249395;16;419;0;0;419;35;13;379;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;90;0;0;0;0;0;0;00:02:14:713000;00:01:57:871000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:25:17.113766	1686597917.113766;2023-06-12	15:26:17.114573	1686597977.114573;00:01:00;00:29:00;1;0.25;0.249416;15;434;0;0;434;29;21;400;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;90;0;0;0;0;0;0;00:02:03:316000;00:01:58:153000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:26:17.114691	1686597977.114691;2023-06-12	15:27:17.116018	1686598037.116018;00:01:00;00:30:00;1;0.249996;0.249435;15;449;0;0;449;26;17;417;1;6;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;94;0;0;0;0;10;100;0;0;0;0;0;0;00:01:50:470000;00:01:57:826000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:27:17.116147	1686598037.116147;2023-06-12	15:28:17.118337	1686598097.118337;00:01:00;00:31:00;1;0.249992;0.249453;15;464;0;0;464;30;11;428;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;102;0;0;0;0;8;108;0;0;0;0;0;0;00:02:06:673000;00:01:58:051000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:28:17.118496	1686598097.118496;2023-06-12	15:29:17.120501	1686598157.120501;00:01:00;00:32:00;1;0.249992;0.24947;15;479;0;0;479;34;11;439;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;108;0;0;0;0;0;0;00:02:01:190000;00:01:58:128000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:29:17.120617	1686598157.120617;2023-06-12	15:30:17.122299	1686598217.122299;00:01:00;00:33:00;1;0.249996;0.249486;15;494;0;0;494;28;21;460;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;108;0;0;0;0;0;0;00:02:05:013000;00:01:58:439000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:30:17.122410	1686598217.122410;2023-06-12	15:31:17.124482	1686598277.124482;00:01:00;00:34:00;1;0.249992;0.249501;15;509;0;0;509;32;10;470;1;7;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;103;0;0;0;0;2;110;0;0;0;0;0;0;00:01:45:091000;00:01:58:131000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:31:17.124593	1686598277.124593;2023-06-12	15:32:17.125274	1686598337.125274;00:01:00;00:35:00;1;0.233333;0.249039;14;523;0;0;523;31;15;485;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;118;0;0;0;0;15;125;0;0;0;0;0;0;00:02:19:289000;00:01:58:776000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:32:17.125394	1686598337.125394;2023-06-12	15:33:17.126018	1686598397.126018;00:01:00;00:36:00;1;0.266667;0.249528;16;539;0;0;539;25;22;507;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;119;0;0;0;0;1;126;0;0;0;0;0;0;00:01:50:271000;00:01:58:412000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:33:17.126129	1686598397.126129;2023-06-12	15:34:17.127834	1686598457.127834;00:01:00;00:37:00;1;0.249996;0.249541;15;554;0;0;554;27;13;520;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;126;0;0;0;0;0;0;00:01:56:828000;00:01:58:373000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:34:17.127955	1686598457.127955;2023-06-12	15:35:17.129055	1686598517.129055;00:01:00;00:38:00;1;0.249996;0.249553;15;569;0;0;569;32;10;530;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;126;0;0;0;0;0;0;00:02:02:908000;00:01:58:457000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:35:17.129133	1686598517.129133;2023-06-12	15:36:17.130607	1686598577.130607;00:01:00;00:39:00;1;0.249996;0.249564;15;584;0;0;584;30;17;547;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;126;0;0;0;0;0;0;00:02:02:098000;00:01:58:569000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:36:17.130702	1686598577.130702;2023-06-12	15:37:17.131936	1686598637.131936;00:01:00;00:40:00;1;0.249996;0.249575;15;599;0;0;599;29;15;562;1;8;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;129;0;0;0;0;11;137;0;0;0;0;0;0;00:01:48:946000;00:01:58:299000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:37:17.132040	1686598637.132040;2023-06-12	15:38:17.133771	1686598697.133771;00:01:00;00:41:00;1;0.249996;0.249585;15;614;0;0;614;30;14;576;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;136;0;0;0;0;7;144;0;0;0;0;0;0;00:01:56:904000;00:01:58:265000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:38:17.133889	1686598697.133889;2023-06-12	15:39:17.134418	1686598757.134418;00:01:00;00:42:00;1;0.25;0.249595;15;629;0;0;629;34;11;587;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;144;0;0;0;0;0;0;00:02:07:843000;00:01:58:442000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:39:17.134597	1686598757.134597;2023-06-12	15:40:17.136292	1686598817.136292;00:01:00;00:43:00;1;0.249996;0.249604;15;644;0;0;644;32;17;604;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;144;0;0;0;0;0;0;00:02:08:006000;00:01:58:708000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:40:17.136399	1686598817.136399;2023-06-12	15:41:17.138290	1686598877.138290;00:01:00;00:44:00;1;0.249996;0.249613;15;659;0;0;659;33;14;618;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;144;0;0;0;0;0;0;00:02:05:711000;00:01:58:865000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:41:17.138406	1686598877.138406;2023-06-12	15:42:17.140528	1686598937.140528;00:01:00;00:45:00;1;0.249992;0.249621;15;674;0;0;674;31;16;634;1;9;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;141;0;0;0;0;6;150;0;0;0;0;0;0;00:01:55:188000;00:01:58:767000;00:00:00:000000;00:00:00:000000;
2023-06-12	14:57:17.050186	1686596237.050186;2023-06-12	15:42:17.140626	1686598937.140626;2023-06-12	15:43:17.142919	1686598997.142919;00:01:00;00:46:00;1;0.249992;0.249629;15;689;0;0;689;33;13;647;0;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;153;0;0;0;0;12;162;0;0;0;0;0;0;00:02:12:839000;00:01:59:046000;00:00:00:000000;00:00:00:000000;
