StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:16:52.632033	1694189812.632033;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:16:52.632324	1694189812.632324;2023-09-08	12:17:52.633567	1694189872.633567;00:01:00;00:01:00;1;0.633323;0.633186;38;38;0;0;38;22;0;0;16;16;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:17:52.633678	1694189872.633678;2023-09-08	12:18:52.634928	1694189932.634928;00:01:00;00:02:00;1;0.233329;0.433279;14;52;0;0;52;30;6;6;0;16;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;00:01:12:865000;00:00:19:872000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:18:52.635066	1694189932.635066;2023-09-08	12:19:52.638038	1694189992.638038;00:01:00;00:03:00;1;0.249992;0.372185;15;67;0;0;67;33;12;18;0;16;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;00:01:46:876000;00:00:50:580000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:19:52.638154	1694189992.638154;2023-09-08	12:20:52.640461	1694190052.640461;00:01:00;00:04:00;1;0.233326;0.33747;14;81;0;0;81;35;12;30;0;16;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;00:01:54:992000;00:01:07:383000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:20:52.640590	1694190052.640590;2023-09-08	12:21:52.641711	1694190112.641711;00:01:00;00:05:00;1;0.249996;0.319977;15;96;0;0;96;34;15;45;1;17;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;17;33;0;0;0;0;0;0;00:01:47:640000;00:01:17:772000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:21:52.641843	1694190112.641843;2023-09-08	12:22:52.643009	1694190172.643009;00:01:00;00:06:00;1;0.233329;0.305536;14;110;0;0;110;29;19;64;0;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;0;0;0;0;1;34;0;0;0;0;0;0;00:01:48:227000;00:01:24:915000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:22:52.643129	1694190172.643129;2023-09-08	12:23:52.645460	1694190232.645460;00:01:00;00:07:00;1;0.233326;0.29522;14;124;0;0;124;35;8;72;0;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;34;0;0;0;0;0;0;00:01:51:727000;00:01:27:325000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:23:52.645593	1694190232.645593;2023-09-08	12:24:52.646656	1694190292.646656;00:01:00;00:08:00;1;0.249996;0.289567;15;139;0;0;139;36;14;86;0;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;34;0;0;0;0;0;0;00:01:59:021000;00:01:31:634000;00:00:00:000000;00:00:00:000000;
2023-09-08	12:16:52.619309	1694189812.619309;2023-09-08	12:24:52.646776	1694190292.646776;2023-09-08	12:25:52.648533	1694190352.648533;00:01:00;00:09:00;1;0.233329;0.283318;14;153;0;0;153;30;19;105;1;18;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;21;0;0;0;0;5;39;0;0;0;0;0;0;00:01:44:068000;00:01:33:655000;00:00:00:000000;00:00:00:000000;
