StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:47:37.685927	1736520457.685927;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:47:37.686087	1736520457.686087;2025-01-10	09:48:37.688221	1736520517.688221;00:01:00;00:01:00;1;0.233326;0.233221;14;14;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:48:37.688303	1736520517.688303;2025-01-10	09:49:37.690103	1736520577.690103;00:01:00;00:02:00;1;0.249996;0.241604;15;29;0;0;29;27;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:06:326000;00:01:06:326000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:49:37.694697	1736520577.694697;2025-01-10	09:50:37.691887	1736520637.691887;00:00:59;00:03:00;1;0.250012;0.2444;15;44;0;0;44;28;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:44:709000;00:01:39:911000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:50:37.692000	1736520637.692000;2025-01-10	09:51:37.693441	1736520697.693441;00:01:00;00:04:00;1;0.249996;0.245799;15;59;0;0;59;30;13;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:54:210000;00:01:46:321000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:51:37.693519	1736520697.693519;2025-01-10	09:52:37.694390	1736520757.694390;00:01:00;00:05:00;1;0.233333;0.243305;14;73;0;0;73;31;13;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:01:316000;00:01:50:962000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:52:37.694616	1736520757.694616;2025-01-10	09:53:37.696384	1736520817.696384;00:01:00;00:06:00;1;0.266662;0.247197;16;89;0;0;89;31;16;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:11:640000;00:01:56:667000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:53:37.696629	1736520817.696629;2025-01-10	09:54:37.697225	1736520877.697225;00:01:00;00:07:00;1;0.233333;0.245216;14;103;0;0;103;25;20;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:52:683000;00:01:55:645000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:54:37.697306	1736520877.697306;2025-01-10	09:55:37.698861	1736520937.698861;00:01:00;00:08:00;1;0.266662;0.247896;16;119;0;0;119;31;10;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:58:186000;00:01:55:934000;00:00:00:000000;00:00:00:000000;
2025-01-10	09:47:37.658542	1736520457.658542;2025-01-10	09:55:37.698953	1736520937.698953;2025-01-10	09:56:37.700811	1736520997.700811;00:01:00;00:09:00;1;0.233329;0.246277;14;133;0;0;133;28;17;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:58:826000;00:01:56:402000;00:00:00:000000;00:00:00:000000;
