StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:43:31.541488	1671479011.541488;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:43:31.541709	1671479011.541709;2022-12-19	14:44:31.542374	1671479071.542374;00:01:00;00:01:00;1;0.233333;0.233267;14;14;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:44:31.542478	1671479071.542478;2022-12-19	14:45:31.545343	1671479131.545343;00:01:00;00:02:00;1;0.249992;0.241626;15;29;0;0;29;23;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:17:881000;00:01:17:881000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:45:31.545484	1671479131.545484;2022-12-19	14:46:31.547296	1671479191.547296;00:01:00;00:03:00;1;0.249996;0.244415;15;44;0;0;44;28;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:40:790000;00:01:32:199000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:46:31.547423	1671479191.547423;2022-12-19	14:47:31.548359	1671479251.548359;00:01:00;00:04:00;1;0.25;0.24581;15;59;0;0;59;30;13;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:48:763000;00:01:39:624000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:47:31.548488	1671479251.548488;2022-12-19	14:48:31.549668	1671479311.549668;00:01:00;00:05:00;1;0.249996;0.246647;15;74;0;0;74;30;15;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:11:064000;00:01:50:342000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:48:31.549817	1671479311.549817;2022-12-19	14:49:31.552094	1671479371.552094;00:01:00;00:06:00;1;0.249992;0.247204;15;89;0;0;89;32;13;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:57:829000;00:01:52:050000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:49:31.552184	1671479371.552184;2022-12-19	14:50:31.553836	1671479431.553836;00:01:00;00:07:00;1;0.249996;0.247603;15;104;0;0;104;31;16;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:04:932000;00:01:54:873000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:50:31.553925	1671479431.553925;2022-12-19	14:51:31.554875	1671479491.554875;00:01:00;00:08:00;1;0.25;0.247902;15;119;0;0;119;35;11;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:11:710000;00:01:57:078000;00:00:00:000000;00:00:00:000000;
2022-12-19	14:43:31.525040	1671479011.525040;2022-12-19	14:51:31.554991	1671479491.554991;2022-12-19	14:52:31.556070	1671479551.556070;00:01:00;00:09:00;1;0.249996;0.248134;15;134;0;0;134;35;15;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:12:567000;00:01:59:425000;00:00:00:000000;00:00:00:000000;
