StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:33:51.833522	1671467631.833522;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:33:51.833786	1671467631.833786;2022-12-19	11:34:51.836416	1671467691.836416;00:01:00;00:01:00;1;0.233326;0.233267;14;14;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:34:51.836535	1671467691.836535;2022-12-19	11:35:51.837668	1671467751.837668;00:01:00;00:02:00;1;0.233329;0.233298;14;28;0;0;28;27;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:23:080000;00:01:23:080000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:35:51.837829	1671467751.837829;2022-12-19	11:36:51.839474	1671467811.839474;00:01:00;00:03:00;1;0.233329;0.233307;14;42;0;0;42;28;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:50:562000;00:01:48:599000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:36:51.839581	1671467811.839581;2022-12-19	11:37:51.840899	1671467871.840899;00:01:00;00:04:00;1;0.233329;0.233313;14;56;0;0;56;28;14;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:56:162000;00:01:52:381000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:37:51.840991	1671467871.840991;2022-12-19	11:38:51.842693	1671467931.842693;00:01:00;00:05:00;1;0.233329;0.233315;14;70;0;0;70;26;16;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:56:009000;00:01:53:700000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:38:51.842781	1671467931.842781;2022-12-19	11:39:51.845209	1671467991.845209;00:01:00;00:06:00;1;0.249992;0.236094;15;85;0;0;85;29;12;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:09:760000;00:01:57:141000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:39:51.845353	1671467991.845353;2022-12-19	11:40:51.846092	1671468051.846092;00:01:00;00:07:00;1;0.216667;0.233319;13;98;0;0;98;29;13;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:54:272000;00:01:56:601000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:40:51.846190	1671468051.846190;2022-12-19	11:41:51.847973	1671468111.847973;00:01:00;00:08:00;1;0.249996;0.235403;15;113;0;0;113;30;14;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:54:542000;00:01:56:253000;00:00:00:000000;00:00:00:000000;
2022-12-19	11:33:51.819174	1671467631.819174;2022-12-19	11:41:51.848080	1671468111.848080;2022-12-19	11:42:51.850406	1671468171.850406;00:01:00;00:09:00;1;0.216659;0.23332;13;126;0;0;126;31;12;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:18:508000;00:01:59:065000;00:00:00:000000;00:00:00:000000;
