StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:01:29.592289	1728396089.592289;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:01:29.594058	1728396089.594058;2024-10-08	10:02:29.593164	1728396149.593164;00:00:59;00:01:00;1;0.233337;0.233244;14;14;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:02:29.593266	1728396149.593266;2024-10-08	10:03:29.595010	1728396209.595010;00:01:00;00:02:00;1;0.249996;0.241616;15;29;0;0;29;23;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:16:166000;00:01:16:166000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:03:29.595135	1728396209.595135;2024-10-08	10:04:29.595715	1728396269.595715;00:01:00;00:03:00;1;0.25;0.244409;15;44;0;0;44;28;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:38:458000;00:01:30:099000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:04:29.595826	1728396269.595826;2024-10-08	10:05:29.597312	1728396329.597312;00:01:00;00:04:00;1;0.249996;0.245805;15;59;0;0;59;29;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:55:811000;00:01:42:098000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:05:29.603003	1728396329.603003;2024-10-08	10:06:29.599586	1728396389.599586;00:00:59;00:05:00;1;0.233349;0.243309;14;73;0;0;73;31;12;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:50:100000;00:01:44:384000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:06:29.599688	1728396389.599688;2024-10-08	10:07:29.602212	1728396449.602212;00:01:00;00:06:00;1;0.266658;0.2472;16;89;0;0;89;33;14;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:07:352000;00:01:50:126000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:07:29.602297	1728396449.602297;2024-10-08	10:08:29.603961	1728396509.603961;00:01:00;00:07:00;1;0.249996;0.247599;15;104;0;0;104;29;19;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:01:58:700000;00:01:52:298000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:08:29.604081	1728396509.604081;2024-10-08	10:09:29.604348	1728396569.604348;00:01:00;00:08:00;1;0.25;0.247899;15;119;0;0;119;32;12;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:07:214000;00:01:54:355000;00:00:00:000000;00:00:00:000000;
2024-10-08	10:01:29.569173	1728396089.569173;2024-10-08	10:09:29.604500	1728396569.604500;2024-10-08	10:10:29.605214	1728396629.605214;00:01:00;00:09:00;1;0.233333;0.24628;14;133;0;0;133;28;18;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:02:00:324000;00:01:55:379000;00:00:00:000000;00:00:00:000000;
