StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:30:39.674486	1701855039.674486;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:30:39.674988	1701855039.674988;2023-12-06	04:31:39.674881	1701855099.674881;00:00:59;00:01:00;1;0.516675;0.516589;31;31;0;0;31;17;0;0;14;14;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:31:39.675245	1701855099.675245;2023-12-06	04:32:39.676714	1701855159.676714;00:01:00;00:02:00;1;0.333328;0.424961;20;51;0;0;51;27;3;3;7;21;0;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;00:00:21:547000;00:00:08:977000;00:00:17:324000;00:00:15:335000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:32:39.676888	1701855159.676888;2023-12-06	04:33:39.677184	1701855219.677184;00:01:00;00:03:00;1;0.35;0.399976;21;72;0;0;72;28;15;18;5;26;0;0;0;0;0;0;0;0;5;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;26;0;0;0;0;0;0;00:01:27:787000;00:00:44:800000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:33:39.677448	1701855219.677448;2023-12-06	04:34:39.678049	1701855279.678049;00:01:00;00:04:00;1;0.216667;0.354149;13;85;0;0;85;26;14;32;1;27;0;0;0;0;0;0;0;0;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;13;39;0;0;0;0;0;0;00:02:02:385000;00:01:04:525000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:34:39.678239	1701855279.678239;2023-12-06	04:35:39.679853	1701855339.679853;00:01:00;00:05:00;1;0.249996;0.333318;15;100;0;0;100;26;15;47;0;27;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0;0;0;0;5;44;0;0;0;0;0;0;00:01:48:185000;00:01:13:375000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:35:39.680053	1701855339.680053;2023-12-06	04:36:39.681327	1701855399.681327;00:01:00;00:06:00;1;0.216663;0.313876;13;113;0;0;113;28;11;58;0;27;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;44;0;0;0;0;0;0;00:01:44:745000;00:01:17:435000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:36:39.681540	1701855399.681540;2023-12-06	04:37:39.682884	1701855459.682884;00:01:00;00:07:00;1;0.249996;0.30475;15;128;0;0;128;29;13;71;1;28;0;0;0;0;0;0;0;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;0;0;0;0;6;50;0;0;0;0;0;0;00:01:54:411000;00:01:22:664000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:37:39.683134	1701855459.683134;2023-12-06	04:38:39.683831	1701855519.683831;00:01:00;00:08:00;1;0.216667;0.293739;13;141;0;0;141;24;18;89;0;28;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;34;0;0;0;0;12;62;0;0;0;0;0;0;00:01:51:452000;00:01:27:093000;00:00:00:000000;00:00:00:000000;
2023-12-06	04:30:39.665336	1701855039.665336;2023-12-06	04:38:39.684042	1701855519.684042;2023-12-06	04:39:39.686164	1701855579.686164;00:01:00;00:09:00;1;0.266658;0.29073;16;157;0;0;157;29;11;100;0;28;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;62;0;0;0;0;0;0;00:01:55:932000;00:01:29:571000;00:00:00:000000;00:00:00:000000;
